#,1#,2#,#3,10#,4#,5#,6#,7#
30357,show_videogallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_videogallery,1,"Super Admin",66.29.141.137,2023-08-23T07:20:31.000000Z,2023-08-23T07:20:31.000000Z
30356,update-page/148,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6IjIrSkxjUXNDZU1yTkp5YStWWGRhdlE9PSIsInZhbHVlIjoiTTVLWEhXQjM2NjhmNldISUppTE1xdz09IiwibWFjIjoiZWU4MjI4ZGIyYmVjMzdlZjBkNjE2MmFhYjNmYWExNzdlYTY5NjcwZTYzNmU4YjAxNjY4ZDJiNDNkN2ZlMjE1MSIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:20:14.000000Z,2023-08-23T07:20:14.000000Z
30355,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T07:20:04.000000Z,2023-08-23T07:20:04.000000Z
30354,add_videoget,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add_videoget,1,"Super Admin",66.29.141.137,2023-08-23T07:19:52.000000Z,2023-08-23T07:19:52.000000Z
30353,show_videogallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_videogallery,1,"Super Admin",66.29.141.137,2023-08-23T07:19:02.000000Z,2023-08-23T07:19:02.000000Z
30352,add_videoget,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add_videoget,1,"Super Admin",66.29.141.137,2023-08-23T07:18:59.000000Z,2023-08-23T07:18:59.000000Z
30351,show_videogallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_videogallery,1,"Super Admin",66.29.141.137,2023-08-23T07:17:24.000000Z,2023-08-23T07:17:24.000000Z
30350,show_gallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_gallery,1,"Super Admin",66.29.141.137,2023-08-23T07:16:55.000000Z,2023-08-23T07:16:55.000000Z
30349,add_gallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add_gallery,1,"Super Admin",66.29.141.137,2023-08-23T07:15:58.000000Z,2023-08-23T07:15:58.000000Z
30348,show_gallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_gallery,1,"Super Admin",66.29.141.137,2023-08-23T07:14:31.000000Z,2023-08-23T07:14:31.000000Z
